subcategory,action,category,subcategory_remap,notes
male condoms,REMOVE,,,Non-supplement category
maple syrup,REMOVE,,,Non-supplement category
margarita cocktail mixers,REMOVE,,,Non-supplement category
maternity skin care,REMOVE,,,Non-supplement category
maternity supports,REMOVE,,,Non-supplement category
mct oil,REMAP,OIL CATEGORY,MCT,Maps to OIL CATEGORY / MCT
medical furniture & transport,REMOVE,,,Non-supplement category
medicinal sleep aids,REMAP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,Maps to BASIC VITAMINS & MINERALS / DHEA & PREGNENOLONE & HORMONES
men dress shirts,REMOVE,,,Non-supplement category
men jeans,REMOVE,,,Non-supplement category
men swim trunks,REMOVE,,,Non-supplement category
men's disposable razors,REMOVE,,,Non-supplement category
men's electric shavers & accessories,REMOVE,,,Non-supplement category
men's electric trimmers & accessories,REMOVE,,,Non-supplement category
men's razor cartridges & refills,REMOVE,,,Non-supplement category
men's reusable razors,REMOVE,,,Non-supplement category
men's shaving & grooming sets,REMOVE,,,Non-supplement category
men's shaving accessories,REMOVE,,,Non-supplement category
men's shaving brushes,REMOVE,,,Non-supplement category
menopause care products,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
menstrual cups,REMOVE,,,Non-supplement category
menstrual cups & accessories,REMOVE,,,Non-supplement category
menstrual pads,REMOVE,,,Non-supplement category
menstrual panty liners,REMOVE,,,Non-supplement category
milk thistle herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
mixed nuts,REMOVE,,,Non-supplement category
moisturizing nasal & throat sprays,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
moisturizing sprays,REMAP,HERBAL/HOMEOPATHIC COLD & FLU,NON-SPECIFIC,Maps to HERBAL/HOMEOPATHIC COLD & FLU / NON-SPECIFIC
motion sickness & nausea,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
msm,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
multimineral supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
multivitamins,REMAP,COMBINED MULTIVITAMINS,NON-SPECIFIC,Maps to COMBINED MULTIVITAMINS / NON-SPECIFIC
mushrooms herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
